datetime;generacion_mwh;precio_base_eur_mwh;multiplicador;precio_eur_mwh
2025-07-09T18:00:00+02:00;2791.207;196.08;1.1468;224.866
2025-07-09T19:00:00+02:00;3147.004;231.66;1.1328;262.428
2025-07-09T20:00:00+02:00;4145.921;236.36;1.0935;258.466
2025-07-09T21:00:00+02:00;4745.708;284.92;1.0699;304.847
2025-07-09T22:00:00+02:00;4907.582;206.84;1.0636;219.99
2025-07-09T23:00:00+02:00;4706.092;178.99;1.0715;191.787
2025-07-10T00:00:00+02:00;4303.789;148.12;1.0873;161.054
2025-07-10T01:00:00+02:00;4054.348;139.63;1.0971;153.192
2025-07-10T02:00:00+02:00;4028.769;136.43;1.0981;149.819
2025-07-10T03:00:00+02:00;3015.814;133.04;1.138;151.396
2025-07-10T04:00:00+02:00;2697.446;132.64;1.1505;152.602
2025-07-10T05:00:00+02:00;2197.394;133.38;1.1702;156.076
2025-07-10T06:00:00+02:00;1782.631;140.7;1.1865;166.937
2025-07-10T07:00:00+02:00;1693.25;146.91;1.19;174.821
2025-07-10T08:00:00+02:00;1262.05;155.28;1.2;186.336
2025-07-10T09:00:00+02:00;728.385;154.48;1.2;185.376
2025-07-10T10:00:00+02:00;399.509;217.31;1.2;260.772
2025-07-10T11:00:00+02:00;298.233;222.3;1.2;266.76
2025-07-10T12:00:00+02:00;415.027;186.87;1.2;224.244
2025-07-10T13:00:00+02:00;743.731;183.3;1.2;219.96
2025-07-10T14:00:00+02:00;1185.275;119.12;1.2;142.944
2025-07-10T15:00:00+02:00;1665.083;119.28;1.1911;142.074
2025-07-10T16:00:00+02:00;2131.01;118.83;1.1728;139.361
2025-07-10T17:00:00+02:00;2558.794;120.51;1.1559;139.303
2025-07-10T18:00:00+02:00;3566.586;198.99;1.1163;222.135
2025-07-10T19:00:00+02:00;4099.053;217.89;1.0954;238.671
2025-07-10T20:00:00+02:00;4438.959;232.91;1.082;252.01
2025-07-10T21:00:00+02:00;4416.617;272.94;1.0829;295.562
2025-07-10T22:00:00+02:00;4391.811;227.65;1.0839;246.74
2025-07-10T23:00:00+02:00;4797.954;181.87;1.0679;194.216
2025-07-11T00:00:00+02:00;5035.65;148.76;1.0585;157.468
2025-07-11T01:00:00+02:00;4907.847;141.66;1.0636;150.664
2025-07-11T02:00:00+02:00;4512.205;140.03;1.0791;151.11
2025-07-11T03:00:00+02:00;4202.115;136.04;1.0913;148.463
2025-07-11T04:00:00+02:00;3819.48;135.93;1.1064;150.389
2025-07-11T05:00:00+02:00;3179.549;136.12;1.1315;154.025
2025-07-11T06:00:00+02:00;2669.793;144.27;1.1516;166.139
2025-07-11T07:00:00+02:00;2233.883;151.83;1.1687;177.448
2025-07-11T08:00:00+02:00;1674.041;160.18;1.1907;190.733
2025-07-11T09:00:00+02:00;1273.199;154.06;1.2;184.872
2025-07-11T10:00:00+02:00;1259.074;173.53;1.2;208.236
2025-07-11T11:00:00+02:00;1273.85;189.48;1.2;227.376
2025-07-11T12:00:00+02:00;1528.814;193.99;1.1965;232.1
2025-07-11T13:00:00+02:00;1993.117;185.93;1.1782;219.062
2025-07-11T14:00:00+02:00;2596.962;108.44;1.1544;125.188
2025-07-11T15:00:00+02:00;3302.084;106.64;1.1267;120.153
2025-07-11T16:00:00+02:00;4089.943;101.64;1.0957;111.37
2025-07-11T17:00:00+02:00;4918.077;108.1;1.0632;114.928
2025-07-11T18:00:00+02:00;7095.827;180.66;0.9775;176.598
2025-07-11T19:00:00+02:00;8272.6;215.73;0.9312;200.895
2025-07-11T20:00:00+02:00;7983.648;231.24;0.9426;217.966
2025-07-11T21:00:00+02:00;8204.722;242.9;0.9339;226.845
2025-07-11T22:00:00+02:00;7677.838;191.72;0.9546;183.02
2025-07-11T23:00:00+02:00;6305.526;182.79;1.0086;184.361
2025-07-12T00:00:00+02:00;4590.012;156.78;1.0761;168.705
2025-07-12T01:00:00+02:00;3912.368;153.5;1.1027;169.267
2025-07-12T02:00:00+02:00;3350.74;149.16;1.1248;167.775
